"Variables","Método","Correlación","Valor.p","IC.95."
"Bienestar objetivo ~ Horas de trabajo no remunerado","Pearson",0.46798283548518,0,"0.45 a 0.48"
"Satisfacción con la vida ~ Horas de trabajo no remunerado","Spearman",-0.0289725154366374,0.0132857136870621,"-0.06 a -0.02"
