"","Horas de trabajo no remunerado","Bienestar subjetivo","Satisfacción con la vida"
"Horas de trabajo no remunerado",1,-0.198486297322005,-0.0531657469091929
"Bienestar subjetivo",-0.198486297322005,1,0.294236649672454
"Satisfacción con la vida",-0.0531657469091929,0.294236649672454,1
