"","Horas de trabajo no remunerado","Bienestar subjetivo","Satisfacción con la vida"
"Horas de trabajo no remunerado",1,-0.207339978475385,-0.0702754139764276
"Bienestar subjetivo",-0.207339978475385,1,0.256851648922808
"Satisfacción con la vida",-0.0702754139764276,0.256851648922808,1
